,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor on Ice,Home on Ice,Season,gameId,Visitor Goalie On Ice,Home Goalie On Ice,Visitor,Home,Visitor_Score,Home_Score,Against
25334,5,3,19:58,EV,PHI,14 S.COUTURIER(16),93 J.VORACEK(25),25 J.VAN RIEMSDYK(10),"['14', '17', '25', '28', '53', '93']","['11', '21', '25', '29', '37', '45']",2018,20687,False,True,PHI,N.J,2,3,N.J
25544,6,3,18:10,EV,PIT,19 D.BRASSARD(8),14 T.PEARSON(6),17 B.RUST(11),"['3', '12', '14', '17', '19', '73']","['4', '28', '31', '48', '52', '88']",2018,20720,False,True,PIT,S.J,2,4,S.J
25551,6,3,16:01,PP,COL,29 N.MACKINNON(27),4 T.BARRIE(29),96 M.RANTANEN(50),"['4', '13', '29', '37', '92', '96']","['5', '31', '44', '56', '58']",2018,20721,False,True,COL,OTT,2,4,OTT
25559,7,3,18:54,EV,BOS,22 P.CEHLARIK(2),63 B.MARCHAND(34),47 T.KRUG(27),"['22', '37', '46', '47', '63', '88']","['6', '9', '14', '21', '79', '93']",2018,20722,False,True,BOS,PHI,3,4,PHI
25803,12,3,19:59,EV,S.J,9 E.KANE(21),48 T.HERTL(23),8 J.PAVELSKI(18),"['8', '9', '28', '48', '62', '88']","['2', '6', '8', '19', '70', '77']",2018,20760,False,True,S.J,WSH,6,6,WSH
25818,4,3,19:16,EV,CAR,20 S.AHO(22),86 T.TERAVAINEN(30),14 J.WILLIAMS(15),"['14', '19', '20', '23', '74', '86']","['13', '23', '24', '28', '33', '55']",2018,20763,False,True,CAR,CGY,2,2,CGY
25951,4,3,17:41,EV,TOR,12 P.MARLEAU(12),34 A.MATTHEWS(23),44 M.RIELLY(38),"['12', '16', '34', '43', '44', '51']","['3', '8', '35', '39', '61', '65']",2018,20786,False,True,TOR,DET,2,2,DET
26069,6,3,19:00,EV,L.A,9 A.KEMPE(7),73 T.TOFFOLI(13),10 M.AMADIO(3),"['8', '9', '10', '11', '23', '73']","['18', '20', '30', '36', '54', '93']",2018,20806,False,True,L.A,NYR,3,3,NYR
26094,8,3,18:23,EV,MIN,11 Z.PARISE(21),3 C.COYLE(18),20 R.SUTER(30),"['3', '11', '12', '20', '46', '64']","['4', '9', '17', '19', '28', '35']",2018,20810,False,True,MIN,BUF,4,4,BUF
26116,5,3,19:52,EV,VAN,40 E.PETTERSSON(24),unassisted,,"['6', '26', '40', '51', '53', '77']","['8', '19', '44', '70', '74', '77']",2018,20814,False,True,VAN,WSH,3,3,WSH
26237,6,3,18:08,PP,VAN,40 E.PETTERSSON(25),51 T.STECHER(16),17 J.LEIVO(7),"['6', '17', '26', '40', '51', '53']","['2', '7', '15', '19', '60']",2018,20834,False,True,VAN,CHI,3,3,CHI
133,7,3,19:57,PP,CAR,27 J.FAULK(1),26 J.LILES(1),32 K.VERSTEEG(1),"['20', '34', '41', '52', '55']","['12', '16', '26', '27', '32', '53']",2015,20023,True,False,DET,CAR,4,3,DET
197,3,3,18:20,PP,N.J,21 K.PALMIERI(1),6 A.GREENE(1),16 J.JOSEFSON(1),"['6', '28', '35', '57', '59']","['6', '14', '16', '21', '22', '28']",2015,20037,True,False,NSH,N.J,2,1,NSH
338,7,3,19:31,EV,VAN,22 D.SEDIN(2),27 B.HUTTON(3),21 B.SUTTER(3),"['12', '19', '20', '27', '34', '36']","['17', '21', '22', '23', '27', '33']",2015,20062,True,False,STL,VAN,4,3,STL
554,4,3,18:48,EV,CGY,8 J.COLBORNE(1),5 M.GIORDANO(1),24 J.HUDLER(4),"['8', '20', '27', '35', '40', '55']","['5', '6', '8', '13', '23', '24']",2015,20103,True,False,DET,CGY,2,2,DET
579,7,3,19:15,PP,BUF,15 J.EICHEL(3),90 R.O'REILLY(4),,"['5', '6', '14', '19', '35']","['12', '15', '26', '46', '63', '90']",2015,20107,True,False,N.J,BUF,4,3,N.J
604,2,3,11:27,EV,NSH,18 J.NEAL(6),63 M.RIBEIRO(5),5 B.JACKMAN(1),"['14', '28', '29', '58', '71', '81']","['5', '6', '15', '18', '57', '63']",2015,20112,True,False,PIT,NSH,1,1,PIT
663,7,3,17:34,EV,TOR,44 M.RIELLY(2),3 D.PHANEUF(6),43 N.KADRI(4),"['5', '12', '32', '34', '41', '48']","['3', '15', '19', '21', '43', '44']",2015,20122,True,False,ARI,TOR,4,3,ARI
674,4,3,17:32,PP,N.J,21 K.PALMIERI(2),9 J.TLUSTY(2),19 T.ZAJAC(3),"['9', '13', '27', '51', '72']","['9', '13', '19', '21', '28', '51']",2015,20125,True,False,CBJ,N.J,3,1,CBJ
680,6,3,19:06,EV,PHI,10 B.SCHENN(4),28 C.GIROUX(2),32 M.STREIT(4),"['4', '12', '28', '31', '55', '90']","['10', '17', '24', '28', '32', '93']",2015,20126,True,False,BUF,PHI,3,3,BUF
713,2,1,9:12,EV,VAN,5 L.SBISA(1),47 S.BAERTSCHI(3),,"['17', '21', '28', '31', '32', '77']","['5', '33', '36', '44', '47', '53']",2015,20133,True,False,MTL,VAN,0,2,MTL
822,7,3,17:39,EV,ARI,8 T.RIEDER(4),50 A.VERMETTE(2),23 O.EKMAN-LARSSON(6),"['6', '14', '17', '21', '27', '32']","['8', '10', '19', '23', '26', '50']",2015,20153,True,False,VAN,ARI,4,3,VAN
866,5,3,18:46,EV,CBJ,43 S.HARTNELL(4),13 C.ATKINSON(5),58 D.SAVARD(5),"['12', '16', '18', '31', '33', '39']","['7', '13', '17', '43', '58', '71']",2015,20161,True,False,WPG,CBJ,3,2,WPG
894,7,3,19:59,EV,CAR,11 J.STAAL(1),49 V.RASK(4),32 K.VERSTEEG(8),"['6', '11', '24', '51', '77', '88']","['11', '12', '27', '32', '49', '53']",2015,20165,True,False,T.B,CAR,4,3,T.B
997,5,3,18:53,EV,VAN,36 J.HANSEN(3),91 J.MCCANN(1),,"['9', '12', '29', '58', '72', '87']","['2', '14', '36', '44', '53', '91']",2015,20183,True,False,PIT,VAN,3,2,PIT
1001,4,3,19:54,PP,ANA,10 C.PERRY(1),17 R.KESLER(3),47 H.LINDHOLM(2),"['1', '33', '36', '44', '63']","['4', '10', '17', '22', '33', '47']",2015,20184,True,False,FLA,ANA,2,2,FLA
1041,5,3,19:00,EV,L.A,77 J.CARTER(6),11 A.KOPITAR(1),,"['7', '17', '19', '20', '58', '72']","['8', '11', '27', '70', '73', '77']",2015,20192,True,False,CBJ,L.A,3,2,CBJ
1050,2,3,18:58,EV,TOR,3 D.PHANEUF(1),42 T.BOZAK(4),15 P.PARENTEAU(2),"['8', '34', '40', '41', '47', '65']","['3', '15', '26', '42', '44', '47']",2015,20194,True,False,DET,TOR,1,1,DET
1094,4,3,19:59,EV,WSH,19 N.BACKSTROM(5),8 A.OVECHKIN(8),14 J.WILLIAMS(9),"['2', '16', '19', '34', '44', '47']","['8', '14', '19', '74', '77', '92']",2015,20203,True,False,TOR,WSH,2,2,TOR
1099,4,3,19:56,EV,CAR,53 J.SKINNER(3),11 J.STAAL(3),,"['9', '30', '46', '74', '90', '93']","['11', '12', '27', '32', '49', '53']",2015,20204,True,False,OTT,CAR,2,2,OTT
1298,3,3,19:02,EV,PIT,72 P.HORNQVIST(4),58 K.LETANG(7),57 D.PERRON(4),"['7', '18', '43', '58', '71', '72']","['57', '58', '71', '72', '81', '87']",2015,20242,True,False,CBJ,PIT,2,1,CBJ
1308,5,3,18:08,EV,DET,56 T.PULKKINEN(5),4 J.KINDL(3),21 T.TATAR(7),"['7', '19', '31', '48', '57', '61']","['4', '15', '21', '43', '56', '71']",2015,20244,True,False,S.J,DET,3,2,S.J
1516,5,3,19:09,EV,MTL,22 D.WEISE(9),79 A.MARKOV(14),67 M.PACIORETTY(9),"['8', '11', '22', '23', '26', '41']","['15', '22', '27', '67', '76', '79']",2015,20282,True,False,ARI,MTL,3,2,ARI
1581,7,3,17:32,PP,FLA,16 A.BARKOV(5),11 J.HUBERDEAU(10),5 A.EKBLAD(4),"['8', '18', '21', '28', '30']","['5', '11', '16', '18', '36', '68']",2015,20296,True,False,NYR,FLA,5,3,NYR
1582,8,3,18:11,EV,FLA,68 J.JAGR(8),16 A.BARKOV(4),5 A.EKBLAD(5),"['5', '16', '27', '30', '36', '61']","['5', '11', '16', '18', '36', '68']",2015,20296,True,False,NYR,FLA,5,4,NYR
1653,5,3,19:59,PP,VAN,17 R.VRBATA(4),53 B.HORVAT(6),23 A.EDLER(8),"['5', '6', '16', '20', '35']","['6', '17', '22', '23', '33', '53']",2015,20307,True,False,N.J,VAN,3,3,N.J
1669,3,2,11:54,EV,TOR,19 J.LUPUL(8),42 T.BOZAK(10),44 M.RIELLY(10),"['29', '33', '39', '40', '41', '48']","['2', '19', '21', '42', '43', '44']",2015,20312,True,False,BOS,TOR,2,1,BOS
1706,5,3,18:41,EV,BUF,15 J.EICHEL(7),90 R.O'REILLY(10),47 Z.BOGOSIAN(1),"['5', '12', '30', '51', '57', '59']","['9', '12', '15', '29', '47', '90']",2015,20317,True,False,NSH,BUF,3,2,NSH
1744,5,3,18:40,EV,MIN,3 C.COYLE(5),20 R.SUTER(17),9 M.KOIVU(16),"['5', '22', '30', '33', '36', '44']","['3', '9', '16', '20', '25', '29']",2015,20324,True,False,VAN,MIN,3,2,VAN
1764,6,3,10:50,PP,COL,92 G.LANDESKOG(6),29 N.MACKINNON(13),4 T.BARRIE(13),"['3', '5', '7', '41', '68']","['4', '6', '9', '12', '29', '92']",2015,20328,True,False,OTT,COL,4,2,OTT
1999,3,3,19:10,EV,NYR,24 O.LINDBERG(10),16 D.BRASSARD(11),61 R.NASH(9),"['1', '6', '7', '14', '32', '34']","['16', '22', '24', '27', '36', '61']",2015,20373,True,False,COL,NYR,2,1,COL
2046,6,3,19:00,PP,N.J,13 M.CAMMALLERI(10),20 L.STEMPNIAK(15),48 T.KENNEDY(3),"['15', '23', '28', '30', '76']","['2', '13', '14', '20', '26', '48']",2015,20382,True,False,PHI,N.J,3,3,PHI
2061,8,3,19:58,EV,CGY,24 J.HUDLER(5),23 S.MONAHAN(11),8 J.COLBORNE(6),"['21', '33', '40', '44', '46', '54']","['5', '6', '8', '13', '23', '24']",2015,20385,True,False,BOS,CGY,4,4,BOS
2082,4,3,19:23,EV,OTT,68 M.HOFFMAN(14),93 M.ZIBANEJAD(13),65 E.KARLSSON(26),"['15', '17', '41', '44', '53', '55']","['6', '61', '65', '68', '90', '93']",2015,20390,True,False,NYI,OTT,2,2,NYI
2302,4,3,18:50,EV,PIT,71 E.MALKIN(13),14 C.KUNITZ(7),57 D.PERRON(7),"['6', '8', '11', '32', '70', '77']","['3', '14', '57', '71', '81', '87']",2015,20429,True,False,L.A,PIT,2,2,L.A
2366,8,3,19:44,EV,ARI,5 C.MURPHY(2),10 A.DUCLAIR(8),,"['11', '12', '27', '31', '32', '65']","['5', '9', '10', '16', '19', '45']",2015,20442,True,False,CAR,ARI,5,4,CAR
2570,6,3,18:53,EV,DET,40 H.ZETTERBERG(6),13 P.DATSYUK(7),,"['8', '20', '23', '30', '36', '53']","['8', '13', '21', '40', '55', '71']",2015,20481,True,False,VAN,DET,3,3,VAN
2835,3,3,19:57,EV,CHI,7 B.SEABROOK(6),65 A.SHAW(8),19 J.TOEWS(11),"['12', '16', '27', '31', '42', '65']","['2', '7', '19', '65', '72', '88']",2015,20530,True,False,CAR,CHI,2,1,CAR
3092,8,3,18:52,EV,CBJ,20 B.SAAD(16),7 J.JOHNSON(6),13 C.ATKINSON(13),"['2', '8', '19', '27', '43', '70']","['7', '13', '19', '20', '41', '43']",2015,20576,True,False,WSH,CBJ,4,4,WSH
3177,5,3,19:44,EV,CBJ,71 N.FOLIGNO(6),38 B.JENNER(9),41 A.WENNBERG(11),"['6', '19', '25', '40', '56', '64']","['13', '19', '27', '38', '41', '71']",2015,20593,True,False,MIN,CBJ,3,2,MIN
3201,6,3,18:31,EV,COL,29 N.MACKINNON(14),4 T.BARRIE(22),2 N.HOLDEN(10),"['19', '20', '26', '27', '34', '36']","['2', '4', '9', '29', '34', '40']",2015,20598,True,False,STL,COL,3,3,STL
3309,3,3,16:47,PP,DAL,14 J.BENN(25),10 P.SHARP(21),90 J.SPEZZA(20),"['18', '19', '20', '40', '46']","['3', '10', '14', '21', '90', '91']",2015,20620,True,False,MIN,DAL,2,1,MIN
3366,9,3,16:19,PP,CGY,79 M.FERLAND(2),11 M.BACKLUND(13),27 D.HAMILTON(9),"['12', '31', '42', '44', '61']","['5', '11', '13', '23', '27', '79']",2015,20631,True,False,S.J,CGY,5,4,S.J
3401,5,3,19:08,EV,MIN,26 T.VANEK(14),20 R.SUTER(24),64 M.GRANLUND(21),"['4', '12', '28', '35', '55', '90']","['9', '11', '20', '24', '26', '64']",2015,20637,True,False,BUF,MIN,3,2,BUF
3425,3,3,17:33,EV,TOR,28 B.BOYES(5),47 L.KOMAROV(14),44 M.RIELLY(15),"['9', '18', '27', '29', '40', '70']","['2', '24', '28', '43', '44', '47']",2015,20642,True,False,CBJ,TOR,2,1,CBJ
3516,1,1,18:37,EV,L.A,77 J.CARTER(13),73 T.TOFFOLI(13),6 J.MUZZIN(18),"['5', '6', '7', '41', '46', '61']","['6', '11', '17', '27', '73', '77']",2015,20661,True,False,OTT,L.A,0,1,OTT
3566,2,3,19:09,EV,NYI,18 R.STROME(5),2 N.LEDDY(15),51 F.NIELSEN(14),"['5', '7', '14', '17', '30', '44']","['2', '18', '21', '27', '51', '91']",2015,20671,True,False,VAN,NYI,1,1,VAN
3609,3,3,19:18,EV,WPG,40 J.ARMIA(2),85 M.PERREAULT(23),27 N.EHLERS(9),"['1', '2', '14', '32', '34', '55']","['8', '26', '27', '40', '57', '85']",2015,20679,True,False,COL,WPG,2,1,COL
3628,2,2,4:18,EV,NYR,21 D.STEPAN(9),61 R.NASH(20),20 C.KREIDER(14),"['17', '30', '44', '47', '53', '55']","['5', '10', '20', '21', '27', '61']",2015,20683,True,False,VAN,NYR,1,1,VAN
3674,3,3,17:47,PP,DET,40 H.ZETTERBERG(8),25 M.GREEN(16),13 P.DATSYUK(17),"['1', '19', '26', '27', '36']","['8', '13', '14', '25', '40', '43']",2015,20690,True,False,STL,DET,2,1,STL
3753,2,3,19:06,EV,COL,29 N.MACKINNON(16),9 M.DUCHENE(17),4 T.BARRIE(23),"['1', '4', '21', '22', '26', '36']","['4', '9', '29', '32', '40', '92']",2015,20708,True,False,STL,COL,1,1,STL
3787,7,3,18:44,EV,DET,65 D.DEKEYSER(5),56 T.PULKKINEN(6),21 T.TATAR(14),"['7', '15', '36', '42', '47', '67']","['15', '17', '21', '56', '65', '71']",2015,20713,True,False,ANA,DET,4,3,ANA
4052,4,3,17:54,EV,TOR,42 T.BOZAK(10),24 P.HOLLAND(14),3 D.PHANEUF(20),"['1', '5', '6', '11', '19', '21']","['3', '15', '19', '24', '42', '44']",2015,20762,True,False,N.J,TOR,2,2,N.J
4136,6,3,3:48,EV,ANA,7 A.COGLIANO(5),2 K.BIEKSA(8),17 R.KESLER(14),"['4', '11', '16', '28', '29', '89']","['2', '4', '7', '15', '17', '33']",2015,20774,True,False,ARI,ANA,2,4,ARI
4315,2,3,2:01,EV,DET,40 H.ZETTERBERG(10),13 P.DATSYUK(21),2 B.SMITH(10),"['2', '5', '6', '41', '43', '44']","['4', '13', '14', '21', '40', '52']",2015,20806,True,False,OTT,DET,0,2,OTT
4350,7,3,19:34,EV,OTT,25 C.NEIL(3),43 R.DZINGEL(2),27 C.LAZAR(10),"['1', '6', '29', '32', '40', '55']","['2', '6', '25', '27', '43', '65']",2015,20812,True,False,COL,OTT,4,3,COL
4357,7,3,19:56,EV,MIN,64 M.GRANLUND(5),11 Z.PARISE(15),26 T.VANEK(18),"['2', '10', '14', '21', '70', '88']","['4', '6', '9', '11', '26', '64']",2015,20813,True,False,WSH,MIN,4,3,WSH
4422,6,3,19:33,PP,T.B,91 S.STAMKOS(22),77 V.HEDMAN(28),86 N.KUCHEROV(25),"['6', '9', '19', '35', '59']","['9', '18', '51', '77', '86', '91']",2015,20822,True,False,NSH,T.B,3,3,NSH
4470,5,3,18:13,EV,VAN,47 S.BAERTSCHI(11),53 B.HORVAT(16),17 R.VRBATA(12),"['2', '24', '34', '40', '46', '47']","['2', '6', '17', '18', '47', '53']",2015,20830,True,False,TOR,VAN,3,2,TOR
4512,3,3,19:08,EV,T.B,86 N.KUCHEROV(23),9 T.JOHNSON(14),77 V.HEDMAN(30),"['1', '4', '20', '26', '42', '55']","['9', '18', '51', '77', '86', '91']",2015,20838,True,False,STL,T.B,2,1,STL
4601,7,3,18:53,PP,EDM,67 B.POULIOT(13),55 M.LETESTU(9),2 A.SEKERA(15),"['4', '7', '15', '31', '42']","['2', '14', '26', '55', '67', '97']",2015,20854,True,False,ANA,EDM,4,3,ANA
4641,4,3,17:30,EV,TOR,38 C.GREENING(1),28 B.BOYES(12),33 M.ARCOBELLO(1),"['13', '18', '22', '25', '28', '32']","['15', '28', '33', '38', '44', '51']",2015,20860,True,False,NYR,TOR,2,2,NYR
4768,9,3,19:26,EV,ARI,16 M.DOMI(17),44 K.CONNAUTON(10),26 M.STONE(22),"['1', '19', '22', '26', '36', '91']","['16', '19', '26', '44', '50', '89']",2015,20881,True,False,STL,ARI,5,4,STL
4774,5,3,18:19,EV,EDM,67 B.POULIOT(14),14 J.EBERLE(17),97 C.MCDAVID(17),"['2', '4', '29', '31', '40', '92']","['14', '25', '55', '67', '88', '97']",2015,20882,True,False,COL,EDM,3,2,COL
4781,7,3,19:38,EV,BUF,47 Z.BOGOSIAN(3),55 R.RISTOLAINEN(27),,"['3', '7', '29', '58', '72', '87']","['9', '15', '23', '47', '55', '88']",2015,20883,True,False,PIT,BUF,4,3,PIT
4818,9,3,17:03,EV,BOS,21 L.ERIKSSON(23),46 D.KREJCI(34),88 D.PASTRNAK(10),"['7', '20', '41', '43', '58', '70']","['21', '37', '39', '46', '47', '88']",2015,20889,True,False,CBJ,BOS,5,4,CBJ
4852,5,3,17:37,EV,TOR,44 M.RIELLY(6),24 P.HOLLAND(16),43 N.KADRI(21),"['4', '9', '12', '19', '30', '59']","['15', '24', '32', '43', '44', '51']",2015,20895,True,False,NSH,TOR,3,2,NSH
4870,7,3,17:54,EV,WPG,55 M.SCHEIFELE(14),39 T.ENSTROM(11),26 B.WHEELER(39),"['13', '14', '15', '24', '31', '90']","['16', '26', '27', '33', '39', '55']",2015,20899,True,False,DAL,WPG,4,3,DAL
5082,3,3,17:45,EV,TOR,43 N.KADRI(12),44 M.RIELLY(21),51 J.GARDINER(17),"['5', '6', '17', '24', '88', '91']","['28', '41', '43', '44', '47', '51']",2015,20940,True,False,T.B,TOR,2,1,T.B
5086,4,3,18:29,EV,DAL,38 V.FIDDLER(8),83 A.HEMSKY(15),4 J.DEMERS(15),"['15', '35', '43', '47', '52', '55']","['4', '20', '22', '33', '38', '83']",2015,20941,True,False,DET,DAL,2,2,DET
5111,6,3,19:59,PP,OTT,44 J.PAGEAU(16),6 B.RYAN(27),15 Z.SMITH(7),"['4', '17', '34', '42', '55']","['6', '15', '44', '65', '68', '93']",2015,20946,True,False,STL,OTT,3,3,STL
5371,2,3,18:38,PP,CGY,8 J.COLBORNE(12),5 M.GIORDANO(25),,"['7', '16', '31', '42', '88']","['5', '7', '8', '13', '23', '93']",2015,20990,True,False,S.J,CGY,1,1,S.J
5373,1,1,1:00,EV,ANA,15 R.GETZLAF(10),57 D.PERRON(23),24 S.DESPRES(3),"['8', '9', '19', '44', '70', '77']","['7', '15', '17', '24', '45', '57']",2015,20991,True,False,WSH,ANA,0,1,WSH
5396,6,3,19:59,EV,CAR,53 J.SKINNER(25),49 V.RASK(25),7 R.MURPHY(7),"['2', '15', '30', '44', '65', '68']","['7', '25', '42', '47', '49', '53']",2015,20995,True,False,OTT,CAR,3,3,OTT
5428,6,3,18:47,PP,TOR,39 W.NYLANDER(2),43 N.KADRI(25),51 J.GARDINER(19),"['1', '3', '14', '51', '86']","['15', '39', '43', '44', '47', '51']",2015,21001,True,False,NYI,TOR,3,3,NYI
5492,4,3,17:18,EV,T.B,11 B.BOYLE(10),18 O.PALAT(14),6 A.STRALMAN(23),"['12', '14', '24', '32', '35', '55']","['6', '9', '11', '17', '18', '77']",2015,21014,True,False,PHI,T.B,3,1,PHI
5519,4,3,19:28,PP,DET,17 B.RICHARDS(9),8 J.ABDELKADER(20),40 H.ZETTERBERG(31),"['8', '18', '21', '25', '30']","['8', '15', '17', '25', '40', '56']",2015,21019,True,False,NYR,DET,2,2,NYR
5556,8,3,18:48,PP,DAL,14 J.BENN(34),91 T.SEGUIN(39),33 A.GOLIGOSKI(29),"['19', '26', '27', '34', '42']","['2', '14', '20', '33', '90', '91']",2015,21025,True,False,STL,DAL,4,4,STL
5659,4,3,19:52,EV,OTT,93 M.ZIBANEJAD(16),61 M.STONE(36),65 E.KARLSSON(60),"['3', '9', '11', '20', '40', '46']","['2', '15', '61', '65', '68', '93']",2015,21044,True,False,MIN,OTT,2,2,MIN
5864,5,3,19:52,EV,EDM,93 R.NUGENT-HOPKINS(11),97 C.MCDAVID(26),,"['6', '18', '31', '32', '34', '92']","['4', '14', '29', '82', '93', '97']",2015,21083,True,False,COL,EDM,3,2,COL
5900,3,3,18:56,SH,CBJ,38 B.JENNER(26),3 S.JONES(25),20 B.SAAD(18),"['3', '10', '17', '28', '32', '35']","['3', '20', '28', '38', '58']",2015,21090,True,False,PHI,CBJ,2,1,PHI
5901,4,3,19:52,EV,CBJ,13 C.ATKINSON(26),43 S.HARTNELL(24),17 B.DUBINSKY(29),"['3', '10', '14', '17', '35', '47']","['3', '13', '17', '38', '43', '58']",2015,21090,True,False,PHI,CBJ,2,2,PHI
5914,5,3,18:27,EV,OTT,93 M.ZIBANEJAD(18),65 E.KARLSSON(61),68 M.HOFFMAN(27),"['2', '8', '19', '27', '70', '77']","['5', '6', '65', '68', '90', '93']",2015,21092,True,False,WSH,OTT,3,2,WSH
6088,6,3,16:48,PP,T.B,91 S.STAMKOS(36),11 B.BOYLE(6),18 O.PALAT(21),"['1', '6', '7', '16', '18']","['9', '11', '18', '81', '89', '91']",2015,21122,True,False,FLA,T.B,4,2,FLA
6318,11,3,19:39,EV,STL,22 K.SHATTENKIRK(14),42 D.BACKES(23),36 T.BROUWER(20),"['21', '33', '37', '40', '54', '63']","['20', '22', '26', '36', '42', '91']",2015,21163,True,False,BOS,STL,6,5,BOS
6358,5,3,18:53,EV,TOR,39 W.NYLANDER(5),43 N.KADRI(28),28 B.BOYES(15),"['8', '35', '40', '41', '47', '55']","['15', '28', '29', '39', '43', '52']",2015,21170,True,False,DET,TOR,3,2,DET
6564,6,3,19:02,EV,PHI,17 W.SIMMONDS(30),32 M.STREIT(16),53 S.GOSTISBEHERE(28),"['15', '23', '42', '44', '45', '52']","['10', '17', '28', '32', '53', '93']",2015,21205,True,False,TOR,PHI,3,3,TOR
6586,4,3,19:41,EV,NSH,9 F.FORSBERG(33),59 R.JOSI(47),92 R.JOHANSEN(45),"['5', '15', '23', '41', '48', '76']","['6', '9', '18', '59', '63', '92']",2015,21209,True,False,ARI,NSH,2,2,ARI
6796,8,3,18:31,EV,WPG,85 M.PERREAULT(1),26 B.WHEELER(1),29 P.LAINE(1),"['11', '15', '27', '30', '42', '74']","['26', '27', '29', '33', '55', '85']",2016,20012,True,False,CAR,WPG,4,4,CAR
6895,7,OT,3:12,EV,ARI,23 O.EKMAN-LARSSON(1),11 M.HANZAL(1),17 R.VRBATA(1),"['28', '32', '35', '93']","['11', '17', '19', '23']",2016,20028,True,False,PHI,ARI,3,4,PHI
6980,6,3,19:54,EV,T.B,91 S.STAMKOS(2),77 V.HEDMAN(3),51 V.FILPPULA(1),"['7', '19', '21', '34', '36', '55']","['6', '17', '51', '77', '86', '91']",2016,20042,True,False,FLA,T.B,3,3,FLA
7030,8,3,19:05,PP,WPG,29 P.LAINE(3),27 N.EHLERS(1),,"['2', '8', '11', '31', '47']","['26', '27', '29', '33', '55', '85']",2016,20050,True,False,TOR,WPG,4,4,TOR
7072,6,3,17:53,EV,DAL,90 J.SPEZZA(2),91 T.SEGUIN(3),17 D.SHORE(3),"['6', '15', '21', '23', '27', '31']","['2', '3', '14', '17', '90', '91']",2016,20058,True,False,L.A,DAL,3,3,L.A
7137,9,3,17:33,EV,PHI,93 J.VORACEK(2),55 N.SCHULTZ(3),76 C.VANDEVELDE(1),"['5', '11', '25', '27', '31', '86']","['24', '27', '32', '53', '78', '93']",2016,20070,True,False,CAR,PHI,3,6,CAR
7150,7,3,17:32,EV,CHI,15 A.ANISIMOV(4),51 B.CAMPBELL(3),72 A.PANARIN(3),"['12', '22', '31', '43', '44', '47']","['2', '15', '51', '72', '81', '88']",2016,20072,True,False,TOR,CHI,4,3,TOR
7151,8,3,18:32,EV,CHI,14 R.PANIK(6),2 D.KEITH(6),51 B.CAMPBELL(4),"['2', '11', '16', '31', '42', '46']","['2', '14', '19', '51', '81', '88']",2016,20072,True,False,TOR,CHI,4,4,TOR
7310,9,3,19:45,PP,PHI,17 W.SIMMONDS(5),10 B.SCHENN(3),32 M.STREIT(4),"['2', '15', '33', '35', '48']","['10', '17', '28', '32', '53', '93']",2016,20099,True,False,ARI,PHI,5,4,ARI
7424,4,2,10:13,EV,CAR,53 J.SKINNER(5),65 R.HAINSEY(2),49 V.RASK(6),"['3', '10', '17', '23', '28', '30']","['16', '21', '27', '49', '53', '65']",2016,20125,True,False,PHI,CAR,2,2,PHI
7465,4,3,19:44,PP,CBJ,89 S.GAGNER(3),13 C.ATKINSON(3),8 Z.WERENSKI(6),"['3', '12', '14', '23', '31']","['8', '10', '13', '20', '71', '89']",2016,20133,True,False,DAL,CBJ,2,2,DAL
7515,6,3,18:56,EV,PHI,32 M.STREIT(3),10 B.SCHENN(6),17 W.SIMMONDS(6),"['20', '34', '41', '51', '52', '53']","['10', '17', '28', '32', '53', '93']",2016,20144,True,False,DET,PHI,3,3,DET
7569,4,3,3:40,EV,DAL,28 S.JOHNS(2),91 T.SEGUIN(6),47 J.ODUYA(4),"['6', '12', '19', '27', '34', '57']","['14', '18', '28', '47', '90', '91']",2016,20154,True,False,STL,DAL,1,3,STL
7697,1,1,2:12,EV,NYR,13 K.HAYES(6),8 K.KLEIN(2),76 B.SKJEI(8),"['7', '13', '17', '37', '56', '71']","['8', '10', '13', '40', '73', '76']",2016,20177,True,False,WPG,NYR,0,1,WPG
7770,1,2,0:46,EV,NSH,18 J.NEAL(3),59 R.JOSI(5),76 P.SUBBAN(5),"['3', '5', '7', '41', '68']","['18', '59', '63', '76', '92']",2016,20190,True,False,OTT,NSH,0,1,OTT
7854,5,3,19:58,EV,ARI,8 T.RIEDER(3),16 M.DOMI(10),19 S.DOAN(3),"['9', '13', '17', '37', '39', '57']","['6', '8', '15', '16', '19', '33']",2016,20205,True,False,WPG,ARI,3,2,WPG
7873,4,3,19:37,EV,CHI,81 M.HOSSA(8),72 A.PANARIN(10),2 D.KEITH(12),"['20', '43', '44', '70', '74', '90']","['2', '7', '19', '72', '81', '88']",2016,20209,True,False,WSH,CHI,2,2,WSH
7898,4,3,19:46,EV,FLA,81 J.MARCHESSAULT(8),16 A.BARKOV(6),3 K.YANDLE(8),"['2', '15', '41', '53', '55', '86']","['3', '5', '16', '36', '68', '81']",2016,20214,True,False,NYI,FLA,2,2,NYI
7959,8,3,18:20,EV,VAN,51 T.STECHER(1),14 A.BURROWS(2),53 B.HORVAT(4),"['12', '14', '15', '32', '38', '47']","['14', '23', '33', '47', '51', '53']",2016,20224,True,False,DAL,VAN,4,4,DAL
