,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor on Ice,Home on Ice,Season,gameId,Visitor Goalie On Ice,Home Goalie On Ice,Visitor,Home,Visitor_Score,Home_Score,Against
18064,4,3,18:53,PP,MTL,54 C.HUDON(7),11 B.GALLAGHER(9),,"['11', '26', '27', '54', '67', '92']","['6', '26', '27', '40', '71']",2017,20767,False,True,MTL,STL,1,3,STL
18106,3,3,18:28,EV,STL,17 J.SCHWARTZ(15),10 B.SCHENN(30),91 V.TARASENKO(26),"['10', '17', '20', '27', '29', '91']","['20', '40', '43', '47', '54', '88']",2017,20776,False,True,STL,BOS,1,2,BOS
18128,2,3,19:06,EV,ANA,17 R.KESLER(5),67 R.RAKELL(21),4 C.FOWLER(15),"['4', '10', '15', '17', '26', '67']","['1', '5', '17', '65', '68', '95']",2017,20781,False,True,ANA,OTT,1,1,OTT
18194,6,3,12:38,PP,VGK,88 N.SCHMIDT(4),57 D.PERRON(33),56 E.HAULA(19),"['6', '18', '19', '56', '57', '88']","['9', '20', '40', '46', '64']",2017,20791,False,True,VGK,MIN,2,4,MIN
18302,8,3,19:17,EV,NSH,92 R.JOHANSEN(6),76 P.SUBBAN(28),33 V.ARVIDSSON(17),"['10', '22', '33', '59', '76', '92']","['2', '15', '16', '41', '50', '53']",2017,20809,False,True,NSH,NYI,4,4,NYI
18417,7,3,17:06,PP,MTL,11 B.GALLAGHER(19),92 J.DROUIN(20),27 A.GALCHENYUK(20),"['11', '26', '27', '54', '67', '92']","['3', '9', '14', '17', '37']",2017,20828,False,True,MTL,PHI,3,4,PHI
18445,6,3,19:41,EV,ARI,25 N.COUSINS(9),21 D.STEPAN(24),23 O.EKMAN-LARSSON(17),"['9', '11', '18', '21', '23', '25']","['12', '22', '23', '24', '40', '64']",2017,20832,False,True,ARI,MIN,3,3,MIN
18472,12,3,19:31,EV,DET,25 M.GREEN(6),40 H.ZETTERBERG(31),71 D.LARKIN(32),"['8', '14', '25', '40', '55', '71']","['12', '14', '41', '53', '55', '91']",2017,20835,False,True,DET,NYI,6,6,NYI
18508,6,3,18:47,EV,PIT,4 J.SCHULTZ(3),71 E.MALKIN(33),58 K.LETANG(28),"['4', '58', '59', '71', '81', '87']","['3', '14', '23', '32', '47', '91']",2017,20841,False,True,PIT,DAL,3,3,DAL
18628,4,3,19:06,EV,S.J,28 T.MEIER(14),39 L.COUTURE(20),88 B.BURNS(39),"['8', '28', '39', '44', '48', '88']","['4', '15', '17', '23', '33', '36']",2017,20860,False,True,S.J,ANA,2,2,ANA
18683,8,3,18:39,EV,N.J,9 T.HALL(23),13 N.HISCHIER(24),19 T.ZAJAC(5),"['8', '9', '13', '19', '21', '45']","['3', '9', '12', '14', '17', '30']",2017,20867,False,True,N.J,PHI,4,4,PHI
18830,3,3,18:46,PP,STL,10 B.SCHENN(24),17 J.SCHWARTZ(24),91 V.TARASENKO(29),"['10', '17', '20', '26', '29', '91']","['10', '28', '30', '33', '91']",2017,20893,False,True,STL,DAL,1,2,DAL
19261,3,3,18:44,EV,VAN,22 D.SEDIN(19),23 A.EDLER(22),33 H.SEDIN(39),"['6', '22', '23', '33', '47', '53']","['1', '4', '14', '15', '34', '83']",2017,20967,False,True,VAN,COL,1,2,COL
19335,3,3,18:15,EV,DET,72 A.ATHANASIOU(13),59 T.BERTUZZI(10),,"['40', '42', '59', '71', '72', '83']","['4', '10', '17', '20', '40', '55']",2017,20980,False,True,DET,STL,1,2,STL
19375,5,3,17:53,EV,N.J,63 J.BRATT(13),17 P.MAROON(18),,"['2', '11', '17', '21', '28', '63']","['1', '3', '5', '11', '16', '21']",2017,20985,False,True,N.J,FLA,2,3,FLA
