,assists,decision,evenSaves,evenShotsAgainst,evenStrengthSavePercentage,game_id,goals,pim,powerPlaySavePercentage,powerPlaySaves,powerPlayShotsAgainst,savePercentage,saves,shortHandedSavePercentage,shortHandedSaves,shortHandedShotsAgainst,shots,timeOnIce
49,0,W,19,21,90.47619047619048,020024,0,0,75.0,6,8,86.66666666666667,26,100.0,1,1,30,62:09
50,0,L,23,28,82.14285714285714,020024,0,0,100.0,2,2,83.33333333333334,25,,0,0,30,62:10
51,0,W,26,27,96.29629629629629,020025,0,0,100.0,3,3,96.66666666666667,29,,0,0,30,64:31
52,0,L,37,38,97.36842105263158,020025,0,0,100.0,3,3,97.61904761904762,41,100.0,1,1,42,65:00
53,0,L,23,26,88.46153846153845,020026,0,0,85.71428571428571,6,7,88.23529411764706,30,100.0,1,1,34,59:29
54,0,W,28,30,93.33333333333333,020026,0,0,100.0,6,6,94.5945945945946,35,100.0,1,1,37,60:00
55,0,W,34,34,100.0,020027,0,0,100.0,6,6,100.0,41,100.0,1,1,41,60:00
56,0,L,18,19,94.73684210526315,020027,0,0,100.0,1,1,95.0,19,,0,0,20,59:05
57,0,W,12,13,92.3076923076923,020028,0,0,60.0,3,5,80.0,16,50.0,1,2,20,59:54
58,0,L,22,24,91.66666666666666,020028,0,0,66.66666666666666,6,9,85.71428571428571,30,100.0,2,2,35,59:09
59,0,W,12,16,75.0,020029,0,0,83.33333333333334,5,6,79.16666666666666,19,100.0,2,2,24,60:00
60,0,L,23,30,76.66666666666667,020029,0,2,100.0,9,9,82.05128205128204,32,,0,0,39,58:25
61,0,L,24,30,80.0,020030,0,0,66.66666666666666,2,3,79.41176470588235,27,100.0,1,1,34,58:43
62,0,W,24,30,80.0,020030,0,0,100.0,1,1,80.64516129032258,25,,0,0,31,60:19
63,0,L,18,21,85.71428571428571,020031,0,0,100.0,3,3,87.5,21,,0,0,24,58:18
64,0,W,30,30,100.0,020031,0,0,75.0,6,8,94.73684210526315,36,,0,0,38,60:00
65,0,W,23,26,88.46153846153845,020032,0,0,100.0,2,2,90.32258064516128,28,100.0,3,3,31,60:00
66,0,L,20,24,83.33333333333334,020032,0,0,66.66666666666666,2,3,82.75862068965517,24,100.0,2,2,29,59:45
67,0,L,16,18,88.88888888888889,020033,0,0,90.0,9,10,89.65517241379311,26,100.0,1,1,29,56:21
68,0,W,26,26,100.0,020033,0,0,100.0,9,9,100.0,35,,0,0,35,59:41
69,0,L,12,15,80.0,020034,0,0,50.0,1,2,76.47058823529412,13,,0,0,17,58:09
